Soil Type (Region),pH,N,P,K,Humidity (%),Temp (°C),Best Crops,Fertilizer Recommendation
"Lixisols (Adamawa, North transition)",5.9,117.1,16.5,67.9,70.7,30.4,"Yam, Sorghum, Cassava",NPK 15-15-15
"Arenosols (Far North, Sahel fringe)",6.7,34.4,11.4,66.7,38.2,38.1,"Sesame, Watermelon",Urea + MOP
"Nitisols (West, Northwest highlands)",5.8,219.8,44.7,231.5,79.3,18.8,"Irish Potato, Carrot, Beans",Urea + DAP
Sandy soils (Far North),6.3,66.5,12.8,224.3,32.3,33.7,"Onion, Sorghum, Cowpea, Sesame",DAP + MOP
Sandy soils (Far North),7.1,55.3,10.0,192.5,30.1,34.3,"Onion, Watermelon, Sesame, Millet",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.4,88.3,12.3,65.3,87.3,26.4,"Oil Palm, Plantain, Banana, Cocoa",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",5.8,246.4,47.5,196.8,88.9,19.9,"Cabbage, Beans, Arabica Coffee, Maize",Urea + DAP
"Lixisols (Adamawa, North transition)",5.4,97.7,21.5,111.5,62.0,28.3,"Maize, Sorghum, Yam, Cowpea",NPK 15-15-15
"Lixisols (Adamawa, North transition)",5.6,78.0,10.9,80.7,66.0,26.4,"Cassava, Sorghum, Cowpea, Maize",NPK 15-15-15
"Vertisols (Far North, Diamare plain)",7.9,99.3,9.0,274.8,52.6,34.7,"Cowpea, Sorghum, Groundnuts, Millet",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.2,57.7,4.7,64.8,38.2,41.8,"Cowpea, Watermelon, Onion, Millet",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.4,98.4,15.6,258.3,51.8,41.2,"Sorghum, Millet, Sesame, Cotton",DAP + MOP
"Ferralsols (Centre, South forest zone)",5.0,111.7,15.8,82.7,78.1,28.1,"Banana, Cassava, Cocoa",Urea + DAP + Lime
Clay soils (Western Highlands),7.6,209.5,34.8,205.9,89.7,20.4,"Carrot, Beans, Lettuce",Urea + DAP + MOP
Black soils (Mbam valley),6.2,201.7,36.4,48.4,77.9,27.4,"Maize, Pepper",Urea + MOP
Fluvisols (River valleys),6.6,185.7,50.9,185.3,86.6,27.6,"Rice, Tomato",Balanced NPK
"Hydromorphic soils (Coastal, Littoral)",5.0,193.5,39.7,128.1,90.8,24.6,"Plantain, Taro, Sugarcane, Rice",Urea + DAP
Lateritic soils (East region),5.0,69.2,15.8,94.2,71.5,25.4,"Cassava, Sweet Potato, Yam",NPK 20-10-10
"Hydromorphic soils (Coastal, Littoral)",5.0,245.9,36.6,126.2,92.6,24.3,"Oil Palm, Sugarcane, Plantain, Taro",Urea + DAP
"Arenosols (Far North, Sahel fringe)",6.9,69.4,11.2,75.0,26.8,40.0,"Cowpea, Sesame",Urea + MOP
Black soils (Mbam valley),6.4,152.2,37.3,78.1,77.8,25.0,"Rice, Pepper, Tomato, Maize",Urea + MOP
"Lixisols (Adamawa, North transition)",5.9,98.4,21.2,76.4,67.4,24.0,"Yam, Sorghum, Groundnuts",NPK 15-15-15
"Ferralsols (Centre, South forest zone)",4.7,103.9,14.4,95.1,80.6,24.0,"Oil Palm, Plantain, Banana",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",6.5,46.4,10.2,54.1,32.8,37.2,"Groundnuts, Watermelon, Sesame, Cowpea",Urea + MOP
Sandy soils (Far North),6.5,72.3,8.9,226.0,37.9,35.5,"Watermelon, Sorghum",DAP + MOP
"Nitisols (West, Northwest highlands)",6.4,190.7,53.3,165.8,85.5,21.5,"Carrot, Maize",Urea + DAP
"Ferralsols (Centre, South forest zone)",4.7,119.0,15.6,63.5,90.9,26.7,"Plantain, Banana, Oil Palm",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",5.1,204.5,36.7,142.1,87.9,29.1,"Sugarcane, Banana, Rice, Plantain",Urea + DAP
"Vertisols (Far North, Diamare plain)",7.5,96.6,17.2,261.3,40.5,38.0,"Sesame, Sorghum, Groundnuts, Millet",DAP + MOP
"Lixisols (Adamawa, North transition)",5.4,68.9,20.5,91.8,62.9,28.9,"Cowpea, Yam, Cassava, Sorghum",NPK 15-15-15
Black soils (Mbam valley),6.7,151.4,47.3,45.6,71.4,27.7,"Soybeans, Vegetables",Urea + MOP
Black soils (Mbam valley),7.2,162.8,50.2,63.3,72.7,29.4,"Soybeans, Tomato, Vegetables, Maize",Urea + MOP
"Nitisols (West, Northwest highlands)",5.8,165.3,41.2,170.1,83.2,21.5,"Maize, Carrot, Beans, Cabbage",Urea + DAP
Fluvisols (River valleys),6.2,237.8,45.4,227.4,77.6,25.4,"Tomato, Pepper",Balanced NPK
Fluvisols (River valleys),6.3,246.6,47.8,168.0,84.3,26.9,"Beans, Pepper, Vegetables, Okra",Balanced NPK
Clay soils (Western Highlands),7.4,192.2,30.5,178.4,84.7,20.9,"Tomato, Cabbage, Beans",Urea + DAP + MOP
Fluvisols (River valleys),6.3,194.9,53.8,184.3,81.6,28.6,"Beans, Pepper, Maize",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.7,136.2,11.7,224.8,36.3,37.3,"Cotton, Groundnuts",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.1,69.3,4.7,46.5,29.2,36.4,"Watermelon, Onion",Urea + MOP
"Hydromorphic soils (Coastal, Littoral)",5.5,239.2,39.2,91.5,93.9,29.0,"Rice, Oil Palm",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",4.8,172.4,35.1,134.0,95.6,29.2,"Sugarcane, Taro",Urea + DAP
"Nitisols (West, Northwest highlands)",6.0,179.0,56.5,195.9,85.8,21.6,"Maize, Cabbage, Beans",Urea + DAP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,257.0,50.0,193.9,88.2,22.8,"Cocoa, Irish Potato, Coffee",Urea + DAP + Lime
Sandy soils (Far North),7.0,75.2,10.3,202.1,38.4,33.6,"Cowpea, Sorghum, Sesame",DAP + MOP
"Vertisols (Far North, Diamare plain)",8.0,154.8,8.9,231.9,38.6,40.3,"Sorghum, Sesame, Cowpea",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.3,68.6,8.5,62.7,23.8,40.8,"Sesame, Millet",Urea + MOP
"Ferralsols (Centre, South forest zone)",4.5,122.1,11.3,66.1,85.1,27.4,"Plantain, Cocoa, Cassava, Pineapple",Urea + DAP + Lime
Sandy soils (Far North),6.2,73.6,8.9,254.9,41.1,34.7,"Sesame, Sorghum, Cowpea",DAP + MOP
"Lixisols (Adamawa, North transition)",5.6,101.6,14.7,90.5,71.4,27.3,"Groundnuts, Cassava",NPK 15-15-15
Sandy soils (Far North),6.9,47.3,13.6,189.9,41.8,32.6,"Watermelon, Onion, Sorghum",DAP + MOP
"Nitisols (West, Northwest highlands)",5.9,173.1,59.6,198.4,88.4,18.0,"Arabica Coffee, Beans, Irish Potato",Urea + DAP
"Nitisols (West, Northwest highlands)",6.0,244.4,53.3,185.1,84.7,20.7,"Irish Potato, Arabica Coffee, Carrot",Urea + DAP
Black soils (Mbam valley),6.7,154.4,51.1,84.3,78.2,25.9,"Maize, Soybeans, Vegetables",Urea + MOP
Fluvisols (River valleys),6.8,212.5,63.3,171.7,83.7,26.0,"Vegetables, Tomato, Beans",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.3,157.6,20.5,192.9,45.0,41.1,"Cotton, Sesame, Sorghum, Groundnuts",DAP + MOP
Sandy soils (Far North),7.1,75.0,9.2,201.6,42.0,35.6,"Sorghum, Sesame, Cowpea, Millet",DAP + MOP
Black soils (Mbam valley),6.4,204.9,37.8,77.4,75.9,24.6,"Soybeans, Maize, Pepper, Rice",Urea + MOP
"Arenosols (Far North, Sahel fringe)",6.6,35.8,4.1,65.5,32.2,36.9,"Millet, Cowpea",Urea + MOP
Clay soils (Western Highlands),7.2,145.0,43.3,181.6,79.5,18.3,"Carrot, Cabbage, Beans",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",7.1,133.2,18.5,198.3,49.9,39.9,"Sorghum, Cowpea",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,181.7,48.9,175.8,92.5,17.2,"Irish Potato, Avocado, Tea, Plantain",Urea + DAP + Lime
Clay soils (Western Highlands),6.6,139.7,21.7,177.9,88.1,20.2,"Carrot, Lettuce, Tomato, Maize",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",7.1,149.0,13.5,269.8,40.4,37.4,"Sorghum, Cowpea, Groundnuts",DAP + MOP
Fluvisols (River valleys),6.2,268.4,60.1,221.8,85.9,26.1,"Rice, Beans",Balanced NPK
"Ferralsols (Centre, South forest zone)",5.2,109.5,14.9,68.8,93.1,25.0,"Banana, Cocoa, Cassava, Oil Palm",Urea + DAP + Lime
Black soils (Mbam valley),6.5,183.2,53.6,57.1,75.3,27.2,"Tomato, Maize",Urea + MOP
"Arenosols (Far North, Sahel fringe)",7.3,33.7,9.5,49.0,27.6,42.0,"Groundnuts, Millet, Sesame, Cowpea",Urea + MOP
"Nitisols (West, Northwest highlands)",6.3,170.6,45.6,215.2,83.8,20.1,"Cabbage, Maize, Arabica Coffee",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.3,56.7,10.6,65.4,29.9,41.5,"Onion, Sesame, Millet, Groundnuts",Urea + MOP
"Ferralsols (Centre, South forest zone)",5.2,80.1,12.6,74.4,90.1,27.5,"Banana, Plantain, Pineapple, Cassava",Urea + DAP + Lime
Lateritic soils (East region),4.8,75.2,6.3,90.7,73.2,28.9,"Plantain, Yam",NPK 20-10-10
Lateritic soils (East region),5.2,62.3,7.0,65.4,86.9,26.8,"Cassava, Yam, Sweet Potato",NPK 20-10-10
Sandy soils (Far North),6.6,50.4,4.3,243.2,43.3,39.8,"Watermelon, Cowpea",DAP + MOP
Fluvisols (River valleys),7.0,224.4,60.2,189.8,86.5,29.7,"Tomato, Pepper",Balanced NPK
"Nitisols (West, Northwest highlands)",6.0,226.9,41.3,165.2,79.2,19.5,"Carrot, Cabbage, Beans, Irish Potato",Urea + DAP
"Arenosols (Far North, Sahel fringe)",7.4,56.0,10.3,52.6,39.7,37.9,"Cowpea, Millet",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.9,111.2,11.1,257.1,51.4,40.9,"Millet, Groundnuts",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.1,42.9,7.7,71.5,33.6,33.1,"Cowpea, Sesame, Watermelon",Urea + MOP
Lateritic soils (East region),4.9,107.6,10.1,92.8,80.1,28.0,"Yam, Sweet Potato, Groundnuts, Cassava",NPK 20-10-10
Lateritic soils (East region),4.9,94.8,13.6,45.6,77.1,29.8,"Sweet Potato, Cassava, Plantain, Cocoyam",NPK 20-10-10
Lateritic soils (East region),5.3,84.5,17.2,61.8,75.5,26.1,"Cocoyam, Cassava, Sweet Potato, Plantain",NPK 20-10-10
Sandy soils (Far North),7.1,57.5,4.3,197.4,39.4,32.8,"Millet, Cowpea",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,237.3,44.7,170.0,96.0,21.5,"Tea, Plantain, Cocoa, Irish Potato",Urea + DAP + Lime
"Nitisols (West, Northwest highlands)",6.2,226.3,51.4,213.5,85.1,19.0,"Irish Potato, Cabbage",Urea + DAP
Black soils (Mbam valley),7.1,171.5,48.7,75.3,74.7,26.0,"Maize, Tomato, Pepper, Vegetables",Urea + MOP
Lateritic soils (East region),5.0,78.3,5.8,94.1,77.7,27.8,"Sweet Potato, Plantain, Cocoyam",NPK 20-10-10
"Arenosols (Far North, Sahel fringe)",6.5,69.0,10.1,58.6,22.3,40.2,"Watermelon, Millet, Sesame, Cowpea",Urea + MOP
Sandy soils (Far North),6.8,38.1,11.1,229.7,46.0,35.7,"Sorghum, Watermelon, Sesame, Onion",DAP + MOP
Fluvisols (River valleys),6.0,229.6,49.3,207.4,78.2,27.9,"Rice, Beans",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.3,119.2,11.4,231.9,37.5,34.0,"Cotton, Sorghum",DAP + MOP
Clay soils (Western Highlands),7.3,135.4,38.0,211.0,90.0,21.6,"Maize, Tomato, Irish Potato, Carrot",Urea + DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.1,215.2,24.8,93.6,95.9,27.5,"Banana, Oil Palm, Taro, Rice",Urea + DAP
Black soils (Mbam valley),6.4,173.6,49.1,45.7,72.9,28.2,"Maize, Vegetables, Pepper, Rice",Urea + MOP
"Nitisols (West, Northwest highlands)",6.3,168.1,56.1,220.2,80.9,21.7,"Maize, Carrot, Irish Potato",Urea + DAP
"Lixisols (Adamawa, North transition)",5.8,107.5,21.1,119.9,67.5,30.2,"Groundnuts, Sorghum",NPK 15-15-15
"Nitisols (West, Northwest highlands)",6.4,231.5,54.6,205.4,86.2,20.9,"Cabbage, Carrot",Urea + DAP
Clay soils (Western Highlands),7.3,181.4,44.1,201.5,79.6,17.2,"Tomato, Lettuce, Maize",Urea + DAP + MOP
Lateritic soils (East region),4.9,89.3,15.4,93.6,86.1,28.8,"Cocoyam, Plantain, Yam, Sweet Potato",NPK 20-10-10
Lateritic soils (East region),5.1,84.6,10.7,96.2,78.8,30.8,"Yam, Sweet Potato",NPK 20-10-10
Fluvisols (River valleys),6.2,245.8,56.9,227.1,76.5,23.6,"Vegetables, Okra, Beans, Tomato",Balanced NPK
Clay soils (Western Highlands),7.4,153.7,24.9,203.9,86.5,18.3,"Lettuce, Cabbage, Maize",Urea + DAP + MOP
Fluvisols (River valleys),6.4,233.6,64.5,216.5,86.0,28.0,"Okra, Pepper",Balanced NPK
Lateritic soils (East region),5.2,93.6,6.1,48.3,71.5,26.9,"Cassava, Yam, Groundnuts, Sweet Potato",NPK 20-10-10
Clay soils (Western Highlands),7.1,206.9,26.9,184.0,87.4,20.6,"Irish Potato, Tomato, Lettuce",Urea + DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.6,176.0,46.9,160.3,94.3,17.2,"Tea, Irish Potato",Urea + DAP + Lime
Clay soils (Western Highlands),7.3,152.1,25.1,160.0,83.8,20.4,"Cabbage, Maize, Beans, Carrot",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",7.7,118.6,16.3,233.8,39.3,38.8,"Groundnuts, Sesame, Millet, Sorghum",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.1,217.6,40.7,140.4,87.7,28.2,"Oil Palm, Rice, Plantain, Banana",Urea + DAP
"Nitisols (West, Northwest highlands)",6.0,178.6,52.5,229.6,87.9,21.8,"Maize, Irish Potato, Cabbage, Beans",Urea + DAP
Sandy soils (Far North),7.1,65.0,8.3,264.8,35.1,37.9,"Sesame, Cowpea, Onion",DAP + MOP
Lateritic soils (East region),5.1,103.5,11.5,46.0,81.5,28.2,"Plantain, Yam",NPK 20-10-10
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,208.3,45.1,139.3,89.2,17.9,"Irish Potato, Avocado, Coffee, Tea",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",5.1,197.6,26.3,115.1,92.0,25.0,"Plantain, Sugarcane, Rice, Banana",Urea + DAP
Clay soils (Western Highlands),6.8,147.2,36.8,175.1,77.2,22.1,"Cabbage, Tomato, Maize, Irish Potato",Urea + DAP + MOP
Sandy soils (Far North),6.4,46.4,6.3,241.8,35.9,38.1,"Watermelon, Cowpea, Onion",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,249.2,55.4,193.6,85.1,20.5,"Cocoa, Plantain",Urea + DAP + Lime
"Arenosols (Far North, Sahel fringe)",7.1,58.8,7.8,41.5,29.6,41.3,"Cowpea, Groundnuts, Sesame",Urea + MOP
"Lixisols (Adamawa, North transition)",6.0,123.8,13.0,76.4,68.7,28.4,"Maize, Yam, Sorghum, Cowpea",NPK 15-15-15
"Vertisols (Far North, Diamare plain)",7.0,147.8,9.8,208.0,41.2,37.3,"Cotton, Millet, Groundnuts",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.8,94.5,9.9,67.7,82.1,25.4,"Banana, Oil Palm, Cassava, Pineapple",Urea + DAP + Lime
Lateritic soils (East region),5.1,63.8,5.4,79.8,85.6,25.1,"Sweet Potato, Cassava, Yam, Plantain",NPK 20-10-10
"Hydromorphic soils (Coastal, Littoral)",5.1,221.7,39.3,161.5,95.5,24.1,"Rice, Sugarcane",Urea + DAP
Black soils (Mbam valley),7.0,169.3,41.6,84.9,80.6,29.5,"Soybeans, Vegetables, Tomato",Urea + MOP
Clay soils (Western Highlands),7.3,129.0,25.5,165.4,85.9,18.7,"Irish Potato, Maize, Tomato, Beans",Urea + DAP + MOP
Fluvisols (River valleys),6.0,225.0,46.4,228.1,86.1,28.8,"Maize, Beans",Balanced NPK
"Hydromorphic soils (Coastal, Littoral)",5.2,170.0,36.8,159.9,97.0,28.0,"Rice, Banana",Urea + DAP
"Hydromorphic soils (Coastal, Littoral)",5.0,185.5,36.5,133.7,89.2,24.6,"Rice, Taro, Sugarcane",Urea + DAP
"Ferralsols (Centre, South forest zone)",5.1,128.5,9.1,95.3,85.1,24.8,"Plantain, Oil Palm, Cocoa",Urea + DAP + Lime
Black soils (Mbam valley),7.0,182.8,51.6,68.7,73.2,25.8,"Vegetables, Rice, Soybeans, Tomato",Urea + MOP
"Vertisols (Far North, Diamare plain)",7.4,110.0,9.6,222.2,48.4,36.0,"Millet, Sorghum, Sesame",DAP + MOP
"Lixisols (Adamawa, North transition)",5.6,112.8,24.5,104.4,65.1,25.1,"Yam, Maize, Sorghum",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.7,221.4,25.9,162.1,95.6,29.5,"Plantain, Oil Palm, Banana",Urea + DAP
Clay soils (Western Highlands),7.4,146.1,26.7,183.3,89.5,17.7,"Cabbage, Tomato",Urea + DAP + MOP
"Nitisols (West, Northwest highlands)",5.9,171.8,51.9,186.5,85.0,20.1,"Beans, Irish Potato, Carrot, Maize",Urea + DAP
Fluvisols (River valleys),6.7,218.4,52.2,209.6,81.1,24.6,"Maize, Pepper, Vegetables",Balanced NPK
"Ferralsols (Centre, South forest zone)",5.0,108.1,9.1,50.5,79.2,28.4,"Pineapple, Cassava",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.6,128.4,12.9,57.8,82.5,25.1,"Cocoa, Oil Palm, Plantain",Urea + DAP + Lime
Black soils (Mbam valley),7.2,177.2,33.3,64.0,81.9,25.5,"Rice, Pepper, Tomato, Vegetables",Urea + MOP
Sandy soils (Far North),7.0,41.7,5.5,212.4,25.2,39.4,"Cowpea, Millet, Watermelon, Sesame",DAP + MOP
Fluvisols (River valleys),5.9,254.5,46.6,193.0,85.1,29.0,"Beans, Rice",Balanced NPK
Sandy soils (Far North),6.9,50.7,10.5,256.0,35.9,34.4,"Sesame, Watermelon",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,241.7,58.5,148.5,93.6,17.1,"Plantain, Coffee, Irish Potato",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.4,184.7,36.2,136.3,85.8,16.4,"Tea, Plantain, Avocado",Urea + DAP + Lime
Sandy soils (Far North),7.2,52.5,8.5,219.4,31.3,34.5,"Sesame, Onion",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.0,95.1,18.3,200.9,34.2,39.6,"Cotton, Groundnuts",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.0,220.5,44.7,140.2,88.2,22.8,"Avocado, Tea, Coffee",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.8,143.8,12.6,265.5,49.9,32.9,"Millet, Groundnuts, Sorghum, Sesame",DAP + MOP
Black soils (Mbam valley),6.9,230.2,33.0,61.5,85.6,27.2,"Rice, Soybeans",Urea + MOP
"Lixisols (Adamawa, North transition)",5.3,100.2,22.2,85.0,66.5,26.3,"Groundnuts, Yam, Maize",NPK 15-15-15
"Vertisols (Far North, Diamare plain)",7.0,97.0,11.4,262.8,48.3,33.0,"Millet, Sorghum, Cotton, Cowpea",DAP + MOP
Fluvisols (River valleys),6.2,250.6,52.2,220.3,73.5,26.2,"Okra, Beans",Balanced NPK
Fluvisols (River valleys),7.0,214.2,46.2,196.8,79.7,28.3,"Maize, Pepper, Tomato",Balanced NPK
"Ferralsols (Centre, South forest zone)",5.2,97.8,9.4,91.7,80.6,25.8,"Oil Palm, Cassava, Cocoa, Banana",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.5,101.2,4.3,66.8,88.9,26.0,"Plantain, Cocoa",Urea + DAP + Lime
"Lixisols (Adamawa, North transition)",5.3,119.1,21.9,96.6,66.2,23.8,"Groundnuts, Sorghum, Yam",NPK 15-15-15
Fluvisols (River valleys),6.8,251.0,52.5,174.0,81.3,25.2,"Rice, Beans",Balanced NPK
"Vertisols (Far North, Diamare plain)",7.4,94.3,11.0,209.7,43.5,31.0,"Cotton, Groundnuts, Millet, Cowpea",DAP + MOP
"Vertisols (Far North, Diamare plain)",7.6,105.4,17.0,221.0,35.6,35.2,"Millet, Cotton, Sorghum, Cowpea",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.9,186.5,57.6,126.4,90.0,17.8,"Plantain, Coffee, Irish Potato",Urea + DAP + Lime
Sandy soils (Far North),6.6,68.7,8.8,216.5,36.8,33.3,"Sesame, Millet, Watermelon",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.3,60.8,10.7,38.1,34.9,35.9,"Watermelon, Cowpea",Urea + MOP
Clay soils (Western Highlands),6.9,151.9,22.9,173.8,84.9,18.1,"Cabbage, Irish Potato",Urea + DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.7,38.4,8.6,67.0,40.2,39.8,"Cowpea, Watermelon, Groundnuts, Sesame",Urea + MOP
Lateritic soils (East region),5.0,110.5,10.4,76.5,80.1,30.4,"Cocoyam, Sweet Potato, Yam",NPK 20-10-10
"Ferralsols (Centre, South forest zone)",5.0,78.4,11.0,75.1,91.6,24.8,"Cassava, Cocoa, Banana, Oil Palm",Urea + DAP + Lime
"Volcanic Andosols (NW, Mt. Cameroon)",4.8,262.0,44.3,170.9,85.6,22.8,"Avocado, Cocoa, Plantain, Banana",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",4.9,122.5,9.1,53.2,84.1,29.0,"Oil Palm, Pineapple, Cassava, Banana",Urea + DAP + Lime
"Vertisols (Far North, Diamare plain)",7.1,150.3,10.0,199.1,37.1,33.1,"Sesame, Groundnuts, Millet, Cowpea",DAP + MOP
"Hydromorphic soils (Coastal, Littoral)",5.2,194.5,42.8,121.3,94.5,28.0,"Banana, Sugarcane",Urea + DAP
"Lixisols (Adamawa, North transition)",5.3,122.7,13.0,69.9,70.3,27.3,"Cassava, Groundnuts, Maize, Sorghum",NPK 15-15-15
"Vertisols (Far North, Diamare plain)",7.9,124.4,17.1,223.5,52.5,31.9,"Sesame, Cotton",DAP + MOP
"Arenosols (Far North, Sahel fringe)",7.1,55.3,9.3,46.1,38.4,33.2,"Millet, Cowpea, Sesame",Urea + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",5.1,195.4,36.2,125.1,92.1,20.1,"Banana, Irish Potato, Tea, Avocado",Urea + DAP + Lime
"Hydromorphic soils (Coastal, Littoral)",4.8,206.5,35.9,128.7,97.8,29.9,"Oil Palm, Taro, Banana",Urea + DAP
"Vertisols (Far North, Diamare plain)",7.9,107.2,13.8,203.4,45.3,37.8,"Millet, Cowpea, Sesame, Groundnuts",DAP + MOP
"Ferralsols (Centre, South forest zone)",4.5,90.9,15.2,94.0,92.1,25.8,"Plantain, Pineapple",Urea + DAP + Lime
"Ferralsols (Centre, South forest zone)",5.3,107.0,14.9,79.6,88.6,24.4,"Cocoa, Plantain, Banana",Urea + DAP + Lime
Sandy soils (Far North),7.2,71.6,5.4,200.6,38.2,33.3,"Sorghum, Sesame",DAP + MOP
"Arenosols (Far North, Sahel fringe)",6.7,55.8,7.7,63.4,26.0,39.0,"Onion, Groundnuts",Urea + MOP
Clay soils (Western Highlands),6.7,181.9,38.6,180.6,83.1,18.7,"Beans, Maize",Urea + DAP + MOP
"Vertisols (Far North, Diamare plain)",7.2,108.4,17.5,243.7,39.8,40.8,"Millet, Cowpea",DAP + MOP
"Volcanic Andosols (NW, Mt. Cameroon)",4.7,204.9,41.0,123.4,86.1,18.9,"Banana, Plantain, Irish Potato",Urea + DAP + Lime
Black soils (Mbam valley),6.3,187.1,40.3,76.5,74.3,25.8,"Pepper, Tomato",Urea + MOP
Sandy soils (Far North),6.9,74.0,12.4,241.9,27.4,31.8,"Onion, Cowpea, Millet, Watermelon",DAP + MOP
Clay soils (Western Highlands),7.0,152.3,23.9,164.3,76.6,22.5,"Carrot, Tomato, Irish Potato, Beans",Urea + DAP + MOP
Sandy soils (Far North),6.7,52.1,9.0,241.3,43.5,38.3,"Cowpea, Sorghum, Sesame, Watermelon",DAP + MOP
Lateritic soils (East region),4.7,63.4,10.1,62.6,77.6,26.9,"Cassava, Groundnuts, Yam",NPK 20-10-10
"Arenosols (Far North, Sahel fringe)",7.5,57.5,9.5,53.1,28.9,36.0,"Sesame, Onion",Urea + MOP
"Lixisols (Adamawa, North transition)",5.7,103.0,24.1,101.2,64.8,24.7,"Groundnuts, Yam, Cassava",NPK 15-15-15
"Hydromorphic soils (Coastal, Littoral)",5.3,215.7,27.3,115.0,89.3,28.5,"Banana, Taro, Oil Palm",Urea + DAP
"Lixisols (Adamawa, North transition)",5.2,87.6,19.2,72.2,60.2,29.4,"Groundnuts, Cowpea, Yam, Sorghum",NPK 15-15-15
